"","track.name","track.popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.duration_ms","track.explicit","playlist_name"
"41","goosebumps",86,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,243836,TRUE,"Top Tracks of 2020"
"42","RITMO (Bad Boys For Life)",49,0.723,0.704,10,-7.088,0,0.0571,0.0259,0.00109,0.792,0.684,105.095,214934,TRUE,"Top Tracks of 2020"
"43","THE SCOTTS",83,0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,165977,TRUE,"Top Tracks of 2020"
"44","Safaera",82,0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172,295176,TRUE,"Top Tracks of 2020"
"45","lovely (with Khalid)",87,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200185,FALSE,"Top Tracks of 2020"
"46","Lucid Dreams",87,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239835,TRUE,"Top Tracks of 2020"
"47","Stuck with U (with Justin Bieber)",86,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,228482,FALSE,"Top Tracks of 2020"
"48","If the World Was Ending - feat. Julia Michaels",85,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,208687,FALSE,"Top Tracks of 2020"
"49","Physical",79,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,193829,FALSE,"Top Tracks of 2020"
"50","SICKO MODE",85,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,TRUE,"Top Tracks of 2020"
"51","Old Town Road - Remix",80,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157066,FALSE,"Top Hits of 2019"
"52","bad guy",86,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194087,FALSE,"Top Hits of 2019"
"53","Señorita",80,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190799,FALSE,"Top Hits of 2019"
"54","7 rings",85,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178626,TRUE,"Top Hits of 2019"
"55","Sunflower - Spider-Man: Into the Spider-Verse",80,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560,FALSE,"Top Hits of 2019"
"56","Don't Start Now",84,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,FALSE,"Top Hits of 2019"
"57","Without Me",81,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201660,TRUE,"Top Hits of 2019"
"58","Beautiful People (feat. Khalid)",75,0.64,0.647,5,-8.114,0,0.186,0.124,0,0.0801,0.546,92.979,197866,FALSE,"Top Hits of 2019"
"59","Shallow",83,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,FALSE,"Top Hits of 2019"
