"","danceability","energy","loudness","mode","speechiness","instrumentalness","valence","tempo","track.duration_ms","track.explicit","track.popularity","track.name","key_name","track.album.release_date","mode_name","key_mode"
"148",0.77,0.75,-2.715,1,0.0785,0,0.609,99.997,225600,FALSE,63,"Que Le De","C","2019-01-25","major","C major"
"149",0.857,0.772,-4.736,0,0.194,0.00181,0.589,94.028,164764,FALSE,64,"Ponle","A#","2018-09-06","minor","A# minor"
"150",0.863,0.59,-8.768,1,0.5,0,0.579,161.98,168560,TRUE,54,"Rucón","C#","2018-05-30","major","C# major"
"151",0.681,0.788,-4.323,1,0.0785,0,0.839,170.019,220116,FALSE,68,"Déjala Que Vuelva (feat. Manuel Turizo)","C#","2018-05-11","major","C# major"
"152",0.909,0.493,-6.688,1,0.0735,0.000147,0.844,94.016,197120,FALSE,62,"Bella","D#","2017-12-29","major","D# major"
"153",0.903,0.675,-3.445,0,0.214,1.28e-05,0.442,96.507,417920,TRUE,76,"Te Boté - Remix","B","2018-04-13","minor","B minor"
"154",0.777,0.779,-4.449,0,0.0972,0,0.768,94.023,221653,FALSE,4,"Me Niego (feat. Ozuna & Wisin)","C","2018-02-16","minor","C minor"
"155",0.595,0.773,-4.736,0,0.0549,0.00108,0.711,180.073,173627,FALSE,6,"X","A","2018-03-02","minor","A minor"
"156",0.764,0.59,-4.292,1,0.0395,0.00847,0.281,99.996,251773,FALSE,67,"To My Love - Tainy Remix","G","2016-12-16","major","G major"
"157",0.814,0.813,-3.023,0,0.0561,9.33e-05,0.839,79.997,232549,FALSE,73,"Criminal","D","2017-09-01","minor","D minor"
"158",0.802,0.744,-5.968,1,0.078,0,0.45,99.983,215082,FALSE,66,"Dembow","F#","2017-12-08","major","F# major"
"159",0.722,0.738,-6.073,0,0.247,1.47e-05,0.748,198.075,184720,FALSE,69,"Corazón (feat. Nego do Borel)","A","2018-05-18","minor","A minor"
"160",0.783,0.84,-3.416,1,0.051,0,0.839,95.001,200480,FALSE,70,"Dura","C#","2018-01-18","major","C# major"
"161",0.792,0.895,-3.112,0,0.0589,0,0.794,94.968,201526,FALSE,69,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","C#","2018-02-16","minor","C# minor"
"162",0.791,0.745,-3.695,0,0.0464,2.93e-05,0.82,94.014,188560,FALSE,71,"Sin Pijama","B","2018-04-20","minor","B minor"
"163",0.855,0.664,-7.11,0,0.0607,3.97e-05,0.626,98.015,226800,FALSE,68,"Síguelo Bailando","A","2017-08-25","minor","A minor"
"164",0.775,0.679,-4.985,0,0.135,7.26e-05,0.619,166.008,193456,FALSE,70,"Downtown","E","2017-11-19","minor","E minor"
"165",0.744,0.804,-6.327,1,0.0677,0,0.426,104.823,205714,FALSE,74,"Me Rehúso","C#","2017-06-16","major","C# major"
"166",0.801,0.812,-4.47,1,0.0587,0.000364,0.699,87.971,251266,FALSE,63,"No Es Justo","G","2018-05-11","major","G major"
"167",0.742,0.432,-7.539,0,0.0615,5.78e-05,0.252,148.005,155675,TRUE,2,"Amorfoda","A","2018-02-15","minor","A minor"
"168",0.807,0.681,-6.268,1,0.0983,0,0.676,140.006,297485,FALSE,70,"Sensualidad","B","2017-11-03","major","B major"
"169",0.74,0.74,-3.647,0,0.0686,0,0.717,93.95,219600,FALSE,65,"El Préstamo","F","2018-05-18","minor","F minor"
"170",0.691,0.368,-9.053,1,0.0351,0,0.787,105.084,197680,FALSE,54,"No Hay Nadie Más","F#","2018-01-26","major","F# major"
